City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Camposampiero,IT,45.5684,11.9354,40.95,67,0,5.75,clear sky
224,Ukiah,US,39.1502,-123.2078,79.97,24,0,0.0,clear sky
225,Sanmenxia,CN,34.7747,111.1814,35.6,75,8,7.54,clear sky
226,Qui Nhon,VN,13.7667,109.2333,73.74,90,97,7.76,overcast clouds
227,Mahebourg,MU,-20.4081,57.7,80.89,83,75,5.75,light intensity shower rain
228,Diamantino,BR,-14.4086,-56.4461,76.28,91,99,2.01,heavy intensity rain
229,Arua,UG,3.0201,30.9111,77.61,29,98,2.95,overcast clouds
230,Nizhniy Kuranakh,RU,58.8353,125.4869,-33.9,99,90,1.61,overcast clouds
231,Barcelos,PT,41.5388,-8.6151,50.85,92,29,1.03,scattered clouds
232,Camacupa,AO,-12.0167,17.4833,61.18,93,93,2.39,light rain
233,Thompson,CA,55.7435,-97.8558,-3.84,50,0,9.22,clear sky
234,Tessalit,ML,20.1986,1.0114,66.65,14,0,6.35,clear sky
235,Bowmore,US,34.9421,-79.3031,67.26,37,0,9.22,clear sky
236,Sisimiut,GL,66.9395,-53.6735,10.9,80,100,25.08,overcast clouds
237,Chotepe,HN,15.4167,-87.9833,85.77,70,20,13.8,few clouds
238,Ketchikan,US,55.3422,-131.6461,40.98,94,100,4.07,overcast clouds
239,Cherskiy,RU,68.75,161.3,-20.0,98,100,9.98,overcast clouds
240,Kahului,US,20.8947,-156.47,82.42,61,40,17.27,scattered clouds
241,Noblesville,US,40.0456,-86.0086,24.98,77,100,5.01,overcast clouds
242,Azua,DO,18.4532,-70.7349,81.39,63,8,12.19,clear sky
243,Saravan,AM,39.7196,45.6483,21.85,58,2,6.44,clear sky
244,Zheleznodorozhnyy,RU,55.7503,38.0042,27.12,91,62,10.47,broken clouds
245,Lompoc,US,34.6391,-120.4579,87.01,22,0,13.8,clear sky
246,Mundo Nuevo,MX,18.7,-95.5,73.96,86,97,12.59,overcast clouds
247,Zhigansk,RU,66.7697,123.3711,-34.04,100,74,4.0,broken clouds
248,Namibe,AO,-15.1961,12.1522,75.18,82,90,6.46,overcast clouds
249,Gangapur,IN,26.4833,76.7167,55.72,38,0,5.19,clear sky
250,Chumikan,RU,54.7183,135.315,3.79,88,100,3.04,overcast clouds
251,Udachnyy,RU,66.4167,112.4,-18.62,100,85,2.86,overcast clouds
252,Thanh Hoa,VN,19.8,105.7667,65.37,96,100,5.77,overcast clouds
253,Nuuk,GL,64.1835,-51.7216,16.41,86,100,3.44,light snow
254,Acapulco,MX,16.8634,-99.8901,85.82,51,75,9.22,broken clouds
255,Shahrud,IR,36.4182,54.9763,36.16,67,1,4.03,clear sky
256,Sijunjung,ID,-0.6876,100.9537,70.45,98,77,1.45,broken clouds
257,Jacmel,HT,18.2342,-72.5347,89.44,61,18,8.37,few clouds
258,Axim,GH,4.8699,-2.2405,79.16,86,59,5.55,broken clouds
259,Bilma,NE,18.6853,12.9164,63.77,16,0,8.03,clear sky
260,Yulara,AU,-25.2406,130.9889,71.44,43,0,6.91,clear sky
261,Benguela,AO,-12.5763,13.4055,76.5,71,87,3.83,overcast clouds
262,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,16.11,scattered clouds
263,Zverinogolovskoye,RU,54.4586,64.8542,3.0,99,100,1.81,overcast clouds
264,Ulladulla,AU,-35.35,150.4667,67.08,76,33,2.35,scattered clouds
